category,subcategory,rank,keyword,affinity
Fashion,Body Art,3,evolved body art,1.3333333333333335
Fashion,Body Art,3,face body house,1.3333333333333335
Fashion,Body Art,3,the entire day,1.3333333333333335
Fashion,Body Art,3,a tattoo,1.3333333333333335
Fashion,Body Art,3,the heck,1.3333333333333335
Fashion,Body Art,3,hot naked lesbian anime sex pics,1.3333333333333335
Fashion,Body Art,3,title game,1.3333333333333335
Fashion,Body Art,3,super sexy anime girls,1.3333333333333335
Fashion,Body Art,3,nude art,1.3333333333333335
Fashion,Body Art,3,fat analyzer fucking movie,1.3333333333333335
Fashion,Body Art,3,lesbian movie toned body huge boobs,1.3333333333333335
Fashion,Body Art,3,body art struan castle garden,1.3333333333333335
Fashion,Body Art,3,spring break,1.3333333333333335
Fashion,Body Art,3,super moisturising,1.3333333333333335
Fashion,Body Art,3,lesbian movie,1.3333333333333335
Fashion,Body Art,3,body bilder,1.3333333333333335
Fashion,Body Art,3,art dammit hyo,1.3333333333333335
Fashion,Body Art,3,the art work,1.3333333333333335
Science,Bilogy,9,katy perry,4.081632653061225
Science,Bilogy,9,youre vegan,4.081632653061225
Science,Bilogy,9,a biology major,4.081632653061225
Science,Bilogy,9,the bathroom law right,3.061224489795918
Science,Bilogy,9,teacher bio biology science,3.061224489795918
Science,Bilogy,9,the biology,3.061224489795918
Science,Bilogy,9,alcorn football,3.061224489795918
Science,Bilogy,9,daily updates,3.061224489795918
Science,Bilogy,9,explore your options,3.061224489795918
Science,Bilogy,9,larrynation pjnet,3.061224489795918
Science,Bilogy,9,child pornography police,2.0408163265306123
Science,Bilogy,9,disrespect papa elf,2.0408163265306123
Science,Bilogy,9,men doesnt mean men,2.0408163265306123
Science,Bilogy,9,law order director jason alexander charged,2.0408163265306123
Science,Bilogy,9,the biology and science depts,2.0408163265306123
Science,Bilogy,9,top reasons,2.0408163265306123
Science,Bilogy,9,addiction recovery,2.0408163265306123
Science,Bilogy,9,free full porn sites,1.0204081632653061
Science,Bilogy,9,nfl lineman,1.0204081632653061
Science,Bilogy,9,the biology club,1.0204081632653061
Science,Bilogy,9,extra credit,1.0204081632653061
Science,Bilogy,9,pregnancy brain,1.0204081632653061
Science,Bilogy,9,nah shit,1.0204081632653061
Science,Bilogy,9,a baby,1.0204081632653061
Science,Bilogy,9,a biology teacher,1.0204081632653061
Science,Bilogy,9,a whole damn biology lesson,1.0204081632653061
Science,Bilogy,9,ocean research biology,1.0204081632653061
Science,Bilogy,9,biology plant growth,1.0204081632653061
Science,Bilogy,9,skin tone,1.0204081632653061
Science,Bilogy,9,introductory biology instructors prof,1.0204081632653061
Science,Bilogy,9,biology and sociology,1.0204081632653061
Science,Bilogy,9,last point,1.0204081632653061
Science,Bilogy,9,a lifetime goal,1.0204081632653061
Science,Bilogy,9,biology has been beating my ass,1.0204081632653061
Science,Bilogy,9,the future etc,1.0204081632653061
Science,Bilogy,9,nigga biology,1.0204081632653061
Science,Bilogy,9,deepsea chimaerids,1.0204081632653061
Science,Bilogy,9,actual biology,1.0204081632653061
Science,Bilogy,9,sharkscience co diversesharks https,1.0204081632653061
Science,Bilogy,9,classics greek russian history,1.0204081632653061
Science,Bilogy,9,penny chisholm prof biology,1.0204081632653061
Science,Bilogy,9,a doctor medical school,1.0204081632653061
Science,Bilogy,9,soccer boys,1.0204081632653061
Science,Bilogy,9,to physics and biology,1.0204081632653061
Science,Bilogy,9,a human being,1.0204081632653061
Science,Bilogy,9,organismal biology,1.0204081632653061
Science,Bilogy,9,a biology textbook,1.0204081632653061
Science,Bilogy,9,homo sapi,1.0204081632653061
Science,Bilogy,9,someone working,1.0204081632653061
Science,Bilogy,9,microbial systems biology,1.0204081632653061
Fashion,Fashion,3,the fashion,61.016949152542374
Fashion,Fashion,3,new stylish lady women fashion cocktail evening party sleeveless vneck sexy p dresslink,8.47457627118644
Fashion,Fashion,3,ladybug marinette 42cm dark blue hair women fashion anime cosplay wig,5.084745762711865
Fashion,Fashion,3,movie fashion,3.389830508474576
Fashion,Fashion,3,houseofv tight ends humor fashion models,1.694915254237288
Fashion,Fashion,3,chanel black leather quilted bowling bag,1.694915254237288
Fashion,Fashion,3,video bikini,1.694915254237288
Fashion,Fashion,3,chanel handbag,1.694915254237288
Fashion,Fashion,3,us off high quality new fashion spirng autumn womens shoes,1.694915254237288
Fashion,Fashion,3,show twitterafterdark,1.694915254237288
Fashion,Fashion,3,q a fashion,1.694915254237288
Fashion,Fashion,3,fuck kitty lea sex,1.694915254237288
Fashion,Fashion,3,fashion show black god clothing,1.694915254237288
Fashion,Fashion,3,forsale fashion,1.694915254237288
Fashion,Fashion,3,beauty water,1.694915254237288
Fashion,Fashion,3,a positive example display,1.694915254237288
Fashion,Fashion,3,saturdaymotivation set,1.694915254237288
Fashion,Fashion,3,the incredible hulk dvd,1.694915254237288
Fashion,Fashion,3,susan sarandon,1.694915254237288
Fashion,Fashion,3,fashion beauty,1.694915254237288
Fashion,Fashion,3,fashion anywhere,1.694915254237288
Fashion,Fashion,3,womens watch diamond leather band analog quartz dress wristwatch wh,1.694915254237288
Fashion,Fashion,3,marc dp118 m new mens,1.694915254237288
Fashion,Fashion,3,fashion comfortable breathable mesh light weight lace,1.694915254237288
Fashion,Fashion,3,fashion skinnyjeans,1.694915254237288
Fashion,Fashion,3,widescreen edward norton liv tyler tim roth,1.694915254237288
Fashion,Fashion,3,the same clothes,1.694915254237288
Fashion,Fashion,3,elephants new dvd reese witherspoon robert pattinson francis lawre fashion,1.694915254237288
Fashion,Fashion,3,natalie portman dvd pg13,1.694915254237288
Fashion,Fashion,3,voluptuous sex videos,1.694915254237288
Fashion,Fashion,3,new release fashion,1.694915254237288
Fashion,Fashion,3,fashion sneakers shoes bruno,1.694915254237288
Fashion,Fashion,3,menswear sportswear design fashion,1.694915254237288
Science,Space/Astronomy,9,outer space,13.333333333333334
Science,Space/Astronomy,9,the beauty,10.0
Science,Space/Astronomy,9,storage space,9.333333333333334
Science,Space/Astronomy,9,ancient rome,8.0
Science,Space/Astronomy,9,the gladiators,8.0
Science,Space/Astronomy,9,mobile astronomy apps,6.666666666666667
Science,Space/Astronomy,9,new lip,4.0
Science,Space/Astronomy,9,outer space lipgloss,4.0
Science,Space/Astronomy,9,american football,3.3333333333333335
Science,Space/Astronomy,9,mobile astronomy apps skysafariastro,2.666666666666667
Science,Space/Astronomy,9,the moon,1.3333333333333335
Science,Space/Astronomy,9,outer space carry,1.3333333333333335
Science,Space/Astronomy,9,year anniversary,1.3333333333333335
Science,Space/Astronomy,9,outer space bitch bye,1.3333333333333335
Science,Space/Astronomy,9,second thought,1.3333333333333335
Science,Space/Astronomy,9,the cold merciless expanse,0.6666666666666667
Science,Space/Astronomy,9,outer space culturesways,0.6666666666666667
Science,Space/Astronomy,9,outer space stephenhawking,0.6666666666666667
Science,Space/Astronomy,9,space cream lace geneva cover up tunic dress m l,0.6666666666666667
Science,Space/Astronomy,9,newspaper wembley stadium antique batch,0.6666666666666667
Science,Space/Astronomy,9,constellation wiz khalifa outer space type beat,0.6666666666666667
Science,Space/Astronomy,9,chucknorris roundhouse kick,0.6666666666666667
Science,Space/Astronomy,9,the inside,0.6666666666666667
Science,Space/Astronomy,9,space astronomy,0.6666666666666667
Science,Space/Astronomy,9,diminutive stature,0.6666666666666667
Science,Space/Astronomy,9,the nhl,0.6666666666666667
Science,Space/Astronomy,9,nancy werlin,0.6666666666666667
